expected_l1,l1,b1,p11,c1,cl1,d1,d1_std,d11,d12,d11_std,d12_st,drop1,d1_99,d1_90
1,5,0.6,0.2,1,5,0.18959422111511232,0.11302216718250137,0.32800614833831787,0.0973196029663086,0.0015107393264770508,0.001408077615617589,0,0.3293960285186768,0.3283082962036133
1,5,0.6,0.2,1,5,0.09482083320617676,0.0010479951818223286,0,0.09482083320617676,0,0.0010479951818223286,0,0.09620108604431152,0.09583544731140137
1,5,0.6,0.2,1,5,0.09505252838134766,0.0017339379238075236,0,0.09505252838134766,0,0.0017339379238075236,0,0.09673735618591309,0.0965911865234375
1,5,0.6,0.2,1,5,0.09640269279479981,0.0029954067998385855,0,0.09640269279479981,0,0.0029954067998385855,0,0.10192767143249512,0.09972748756408692
1,5,0.6,0.2,1,5,0.09926471710205079,0.0048653233336606715,0,0.09926471710205079,0,0.0048653233336606715,0,0.10761377334594727,0.10531754493713379
1,5,0.8,0.2,1,5,0.1899735450744629,0.1159098929135402,0.33192527294158936,0.09533905982971191,0.0006014108657836914,0.0015437513336451498,0,0.33247857093811034,0.3320455551147461
1,5,0.8,0.2,1,5,0.14167118072509766,0.09379403030609998,0.3292572498321533,0.09477466344833374,0.0,0.0004832058339060895,0,0.3199083042144775,0.23576779365539552
1,5,0.8,0.2,1,5,0.2361112117767334,0.1142633389992158,0.32940181096394855,0.09617531299591064,0.0015285550721495043,0.00011074542999267578,0,0.33141462326049803,0.3303861141204834
1,5,0.8,0.2,1,5,0.14192647933959962,0.09355945838104276,0.3290388584136963,0.09514838457107544,0.0,0.0008743939772488265,0,0.3197369384765625,0.23601965904235842
1,5,0.8,0.2,1,5,0.24454655647277831,0.08455805858211068,0.2810176610946655,0.09866213798522949,0.04782127379385002,0.0,0,0.3292978858947754,0.328914737701416
1,5,1,0.2,1,5,0.09525156021118164,0.0012741011059689076,0,0.09525156021118164,0,0.0012741011059689076,0,0.09757245063781739,0.09668092727661133
1,5,1,0.2,1,5,0.14292550086975098,0.09303037238540755,0.3289201259613037,0.09642684459686279,0.0,0.002772644367473523,0,0.31980334281921385,0.2377522945404053
1,5,1,0.2,1,5,0.17206768989562987,0.096298616546362,0.284098744392395,0.0973803202311198,0.04745829105377197,0.002944772696570589,0,0.3277603721618652,0.2935904026031494
1,5,1,0.2,1,5,0.0954775333404541,0.001001919434621905,0,0.0954775333404541,0,0.001001919434621905,0,0.09708247184753419,0.09660482406616211
1,5,1,0.2,1,5,0.1409276008605957,0.09300523045767638,0.32690906524658203,0.09443223476409912,0.0,0.0018359666039031973,0,0.3176792335510254,0.23461074829101564
1,5,0,0.4,1,5,0.14228806495666504,0.09369154954830043,0.3295464515686035,0.09547346830368042,0.0,0.003821095660127998,0,0.32043803215026856,0.23846225738525392
1,5,0,0.4,1,5,0.19827122688293458,0.08928931166660568,0.265214204788208,0.09785676002502441,0.04560658245861852,0.0025305747985839844,0,0.3258562183380127,0.29117212295532224
1,5,0,0.4,1,5,0.14200358390808104,0.09314497083463667,0.3282349109649658,0.09544575214385986,0.0,0.0026121823833782152,0,0.3191030788421631,0.2369165897369385
1,5,0,0.4,1,5,0.1229527473449707,0.053945555454962164,0.2307140827178955,0.0960124135017395,0.0,0.002957322058341956,0,0.2255243968963623,0.1788172245025635
1,5,0,0.4,1,5,0.24365110397338868,0.08264547733550694,0.2789596915245056,0.1024167537689209,0.048003769443063414,0.0,0,0.3270974349975586,0.32699246406555177
1,5,0.2,0.4,1,5,0.16817450523376465,0.09588191709973065,0.2793165445327759,0.09407981236775716,0.04893624782562256,0.0008207921553283531,0,0.3243378925323486,0.2891037940979004
1,5,0.2,0.4,1,5,0.16937861442565919,0.09340993521876403,0.27772045135498047,0.09715072313944499,0.0473024845123291,0.0029164938077176268,0,0.3212387371063232,0.2871809482574463
1,5,0.2,0.4,1,5,0.09513330459594727,0.0027455282839007602,0,0.09513330459594727,0,0.0027455282839007602,0,0.10028407096862793,0.0981938362121582
1,5,0.2,0.4,1,5,0.12069473266601563,0.054630980048966896,0.229933500289917,0.09338504076004028,0.0,0.001258418210213981,0,0.22451577186584473,0.17575621604919434
1,5,0.2,0.4,1,5,0.19708428382873536,0.0919139160860232,0.2663729190826416,0.09315133094787598,0.045572464297902536,0.0013093948364257812,0,0.32698473930358884,0.29253530502319336
1,4,0.4,0.4,1,4,0.21921104192733765,0.08382760533626611,0.26174116134643555,0.09162068367004395,0.04619717513736969,0.0,0,0.3241560363769531,0.2980355262756348
1,6,0.4,0.4,1,6,0.17213348547617593,0.11151091190053149,0.3298097848892212,0.09329533576965332,0.0027605295181274414,0.0013613964439853595,0,0.33229426145553587,0.3298097848892212
1,5,0.4,0.4,1,5,0.17613096237182618,0.0676662065295506,0.23134875297546387,0.09330427646636963,0.002460525686921709,0.00198519229888916,0,0.2346101188659668,0.23287668228149414
1,5,0.4,0.4,1,5,0.09448189735412597,0.003198834684828574,0,0.09448189735412597,0,0.003198834684828574,0,0.09861673355102539,0.09834327697753906
